SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Details,Date,img_link,type
22_tv,Noble Skiodo 42CV40CN01 101cm (40 inches) Full HD LED TV (Black),3.6 out of 5 stars,20699,"{u'Item model number': u'42CV40CN01', u'Display Resolution Maximum': u'1920X1080P', u'Supported Audio Format': u'mp3_audio', u'Power Source': u'AC', u'Image Contrast Ratio': u'200000:1', u'Speaker Surround Sound Channel Configuration': u'YES', u'Screen Size': u'40 Inches', u'Brand': u'Noble Skiodo', u'Supported Image Type': u'JPEG', u'Item Weight': u'8 Kg', u'Total Usb Ports': u'2', u'Model Name': u'I-Tech', u'Response Time': u'7 Milliseconds', u'Model': u'42CV40CN01', u'Display Technology': u'LED', u'Resolution': u'1920 x 1080', u'Product Dimensions': u'93 x 8 x 56 cm', u'Included Components': u'Remote Control, batteries, warranty card, manual, Wallmount'}",2016-04-14,http://ecx.images-amazon.com/images/I/41NU1B5zHLL._SX300_QL70_.jpg,tv
23_tv,Micromax 40B5000FHD/Micromax 40C3420FHD/Micromax 40C7550FHD 100 cm (40 inches) Full HD LED TV (Black),4 out of 5 stars,25499,"{u'Item model number': u'40B5000FHD', u'Display Resolution Maximum': u'1080p', u'Total Usb Ports': u'2', u'Image Contrast Ratio': u'3500:1', u'Aspect Ratio': u'16:9', u'Product Dimensions': u'89.9 x 21.2 x 56.4 cm', u'Brand': u'Micromax', u'Material': u'Fabric', u'Viewing Angle': u'178 Degrees', u'Response Time': u'6.5 Milliseconds', u'Additional Features': u'Display Feature : Full HD, Screen Size : 39.5"", Resolution :1920 x1080, Contrst Ratio : 3500:1, Aspect Ratio : 16:9, Viewing angle : 178(H)/178(V), Speaker Placement : Embedded and bottom, Equalizer : 5 Band, Audio Output Power : 8W x 2, HDMI Ports : 2, USB Ports : 2, USB Support Format : Movie/Photo/Music/Text, Power Supply : 100-240V AC, 50-60Hz, Power Consumption(Stand by) : \u22640.5W', u'Screen Size': u'40 Inches', u'Included Components': u'Remote Controller, Battery( for Remote Control), Quick Installation Guide,  User Manual and Wall Mount Support', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Item Weight': u'10 Kg', u'Model': u'40B5000FHD', u'Resolution': u'1920 x 1080', u'Number Of Items': u'1', u'Wattage': u'70 Watts', u'Refresh Rate': u'', u'Display Technology': u'LED'}",2016-04-14,http://ecx.images-amazon.com/images/I/51uouFKZuFL._SX300_QL70_.jpg,tv
24_tv,LG 43LF513A 108cm (43 inches) Full HD LED TV (Black),3.6 out of 5 stars,36490,"{u'Item model number': u'43LF513A', u'Display Resolution Maximum': u'1080p', u'Total Usb Ports': u'1', u'Power Source': u'AC', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'43 Inches', u'Brand': u'LG', u'Item Weight': u'11 Kg', u'Wattage': u'10 Watts', u'Model': u'43LF513A', u'Display Technology': u'LED', u'Resolution': u'1920 x 1080', u'Product Dimensions': u'97.6 x 20.9 x 62.1 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51Xi1E%2BGV8L._SX300_QL70_.jpg,tv
25_tv,Noble Skiodo 22CV22N01 56cm (22 inches) Full HD LED TV (Black),3.8 out of 5 stars,7999,"{u'Item model number': u'22CV22N01', u'Display Resolution Maximum': u'1920X1080P', u'Supported Audio Format': u'mp3_audio', u'Power Source': u'AC', u'Image Contrast Ratio': u'100000:1', u'Speaker Surround Sound Channel Configuration': u'YES', u'Screen Size': u'22 Inches', u'Brand': u'Noble Skiodo', u'Supported Image Type': u'JPEG', u'Item Weight': u'2.9 Kg', u'Total Usb Ports': u'1', u'Model Name': u'I-Tech', u'Response Time': u'5 Milliseconds', u'Model': u'22CV22N01', u'Display Technology': u'LED', u'Resolution': u'1920 x 1080', u'Product Dimensions': u'50.5 x 6.4 x 28.9 cm', u'Included Components': u'Remote Control, batteries, warranty card, manual, Wallmount'}",2016-04-14,http://ecx.images-amazon.com/images/I/31KrqlQrrVL._SX300_QL70_.jpg,tv
26_tv,Samsung RM40D 101.6cm (40 inches) Full HD SMART Signage TV,2.9 out of 5 stars,37499,"{u'Item model number': u'RM40D', u'Removable Memory': u'USB', u'Screen Size': u'40 Inches', u'Media Type': u'Hard Drive, JPEG, MP4, MP3, Blu-ray', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Resolution': u'1920 x 1080 (16:9)', u'Brand': u'Samsung', u'Connector Type': u'WiFi', u'Display Resolution Maximum': u'1080p', u'Item Weight': u'8 Kg', u'Total Usb Ports': u'1', u'Display Technology': u'LED', u'Digital Storage Capacity': u'128 GB', u'Image Brightness': u'1|lumen', u'Model': u'RM40D', u'Additional Features': u'SCREEN SIZE 40, 60 Hz Slim Direct-Lit Panel, RESOLUTION 1920x1080, VIEWING ANGLE (H/V) 178\xb0 x 178\xb0, BRIGHTNESS 350nit, INPUT Video In: HDMI x 2, USB x 1, Coaxial, OUTPUT Audio Out: Stereo mini Jack, Wifi Enabled, BUILT-IN SPEAKERS: 10W x 10W, Pivot function Rotate the screen up to 90 degrees, allowing the display to be installed horizontally or vertically for greater flexibility and versatility.', u'Model Year': u'2014', u'Product Dimensions': u'6.6 x 90.7 x 53.3 cm', u'Colour Screen': u'No'}",2016-04-14,http://ecx.images-amazon.com/images/I/51ylxkCyAvL._SY300_QL70_.jpg,tv
27_tv,Micromax 43X6300MHD/43T6950MHD/L43Y8100MHDI 109 cm (43 inches) Full HD LED with MHL and Bluetooth Technology,3.9 out of 5 stars,Not Available,"{u'Item model number': u'43A7200MHD', u'Display Resolution Maximum': u'1080p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'43 Inches', u'Brand': u'Micromax', u'Material': u'Fabric', u'Viewing Angle': u'176 Degrees', u'Refresh Rate': u'60Hz', u'Item Weight': u'12 Kg', u'Model Name': u'43A7200MHD', u'Model': u'43A7200MHD', u'Display Technology': u'LED', u'Resolution': u'1920*1080', u'Product Dimensions': u'110 x 65 x 20 cm', u'Included Components': u'Main Unit, User Manuel, Warranty Card'}",2016-04-14,http://ecx.images-amazon.com/images/I/510wJXw2SVL._SX300_QL70_.jpg,tv
28_tv,Philips 24PFL3159/V7 60 cm (24 inches) Full HD LED TV (Black),4.1 out of 5 stars,11620,"{u'Item model number': u'24PFL3159/V7', u'Display Resolution Maximum': u'1080p', u'Total Usb Ports': u'1', u'Batteries Included': u'Yes', u'Batteries Required': u'No', u'Screen Size': u'24 Inches', u'Brand': u'Philips', u'Refresh Rate': u'120 hertz', u'Aspect Ratio': u'16:9', u'Item Weight': u'3.2 Kg', u'Wattage': u'45 Watts', u'Model': u'24PFL3159/V7', u'Display Technology': u'LED', u'Model Year': u'2014', u'Product Dimensions': u'57.4 x 9.1 x 36.8 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51%2BkIs8xnUL._SX300_QL70_.jpg,tv
29_tv,Philips 22PFl3758/V7 55 cm (22 inches) Full HD LED TV (Black),3.8 out of 5 stars,9979,"{u'Item model number': u'22PFL3758/V7', u'Display Resolution Maximum': u'1080p', u'Screen Size': u'22 Inches', u'Audio Wattage': u'16 Watts', u'Batteries Included': u'Yes', u'Batteries Required': u'No', u'Resolution': u'1920 x 1080', u'Brand': u'Philips', u'Aspect Ratio': u'16:9', u'Item Weight': u'3.5 Kg', u'Total Usb Ports': u'1', u'Wattage': u'40 Watts', u'Model': u'22PFL3758/V7', u'Display Technology': u'LED', u'Model Year': u'2014', u'Product Dimensions': u'51.7 x 9 x 32.5 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/41goz3XpVHL._SX300_QL70_.jpg,tv
30_tv,LG 32LF515A 80 cm (32 inches) HD Ready LED TV (Black),3.5 out of 5 stars,23294,"{u'Item model number': u'32LF515A', u'Display Resolution Maximum': u'720p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Brand': u'LG', u'Item Weight': u'5 Kg', u'Model Name': u'32LF515A', u'Model': u'32LF515A', u'Screen Size': u'32 Inches', u'Product Dimensions': u'82 x 50 x 17 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/513b8-e7iIL._SX300_QL70_.jpg,tv
31_tv,Micromax 43B6000MHD/L43A7200MHD 109 cm (43 inches) Full HD LED TV (With MHL functionality),3.1 out of 5 stars,24990,"{u'Item model number': u'43B6000MHD', u'Display Resolution Maximum': u'1080p', u'Wattage': u'70 Watts', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'43 Inches', u'Brand': u'Micromax', u'Viewing Angle': u'178 Degrees', u'Refresh Rate': u'60Hz', u'Item Weight': u'9 Kg', u'Model Name': u'43B6000MHD', u'Model': u'43B6000MHD', u'Display Technology': u'LED', u'Resolution': u'1920*1080', u'Product Dimensions': u'105 x 61 x 17 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51S6kJjhEyL._SX300_QL70_.jpg,tv
